国军随缘更新,#genre#
CCTV-1,http://221.220.129.150:8012/rtp/239.3.1.129:8008
CCTV-1,http://114.226.212.136:8787/rtp/239.49.8.19:9614
CCTV-1,http://171.8.168.156:8800/rtp/239.16.20.1:10010
CCTV-1,http://220.167.170.158:4000/rtp/239.120.1.120:8778
CCTV-1,http://123.118.55.200:8686/rtp/239.3.1.129:8008
CCTV-1,http://171.8.170.20:8800/rtp/239.16.20.1:10010
CCTV-1,http://1.58.66.11:4000/rtp/229.58.190.151:5000
CCTV-1,http://114.226.212.135:8787/rtp/239.49.8.129:6000
CCTV-1,http://121.29.215.51:2083/rtp/239.253.92.83:8012
CCTV-1,http://36.49.50.4:8800/rtp/239.37.0.152:5540
CCTV-1,http://123.118.54.216:8686/rtp/239.3.1.129:8008
CCTV-1,http://114.254.35.26:8888/rtp/239.3.1.129:8008
CCTV-1,http://36.49.50.4:8800/rtp/239.37.0.149:5540
CCTV-1,http://112.192.72.120:8484/rtp/239.0.0.10:5140
CCTV-1,http://39.77.163.126:4002/rtp/239.253.254.77:8000
CCTV-1,http://1.58.66.11:4000/rtp/229.58.190.72:5000
CCTV-1,http://36.49.50.4:8800/rtp/239.37.0.224:5540
CCTV-1,http://112.192.72.17:8484/rtp/239.0.0.10:5140
CCTV-1,http://114.226.212.135:8787/rtp/239.49.8.19:9614
CCTV-1,http://39.77.163.221:4002/rtp/239.253.254.89:8000
CCTV-2,http://221.220.129.150:8012/rtp/239.3.1.60:8084
CCTV-2,http://39.77.163.126:4002/rtp/239.253.254.232:8000
CCTV-2,http://39.77.26.162:4002/rtp/239.253.254.232:8000
CCTV-2,http://60.4.29.80:8077/rtp/239.253.92.190:6065
CCTV-2,http://113.119.24.80:58888/udp/239.77.1.158:5146
CCTV-2,http://114.254.35.26:8888/rtp/239.3.1.60:8084
CCTV-2,http://223.86.170.98:4500/rtp/239.11.0.108:5140
CCTV-2,http://demo.medrun.cn:4022/rtp/233.18.204.68:5140
CCTV-2,http://121.29.215.51:2083/rtp/239.253.92.190:6065
CCTV-2,http://123.118.55.200:8686/rtp/239.3.1.60:8084
CCTV-2,http://112.192.72.120:8484/rtp/239.0.0.11:5140
CCTV-2,http://1.58.66.11:4000/rtp/229.58.190.153:5000
CCTV-2,http://39.77.163.227:4002/rtp/239.253.254.232:8000
CCTV-2,http://112.192.72.17:8484/rtp/239.0.0.11:5140
CCTV-2,http://171.8.170.217:8800/rtp/239.16.20.2:10020
CCTV-2,http://1.192.240.185:8188/rtp/239.16.20.2:10020
CCTV-2,http://39.77.163.221:4002/rtp/239.253.254.232:8000
CCTV-2,http://114.254.86.182:4022/rtp/239.3.1.60:8084
CCTV-2,http://39.77.159.145:4002/rtp/239.253.254.232:8000
CCTV-2,http://110.178.145.93:8188/udp/239.1.1.8:8008
CCTV-3,http://221.220.129.150:8012/rtp/239.3.1.172:8001
CCTV-3,http://39.77.163.126:4002/rtp/239.253.254.191:8000
CCTV-3,http://123.118.55.200:8686/rtp/239.3.1.172:8001
CCTV-3,http://183.222.15.202:4321/rtp/239.11.0.101:5140
CCTV-3,http://60.4.29.80:8077/rtp/239.253.92.191:6057
CCTV-3,http://39.77.26.162:4002/rtp/239.253.254.191:8000
CCTV-3,http://171.8.170.217:8800/rtp/239.16.20.3:10030
CCTV-3,http://171.8.170.20:8800/rtp/239.16.20.3:10030
CCTV-3,http://220.167.170.158:4000/rtp/239.120.1.88:9420
